NodeID,UpLinkID,UpLaneID,DnLinkID,DnLaneID
37181,90056,2,93445,2
37181,90056,2,93445,-2
37181,90056,-2,93445,2
37181,90056,-2,93445,-2
37181,90056,2,93447,2
37181,90056,2,93447,-2
37181,90056,-2,93447,2
37181,90056,-2,93447,-2
37181,93445,-1,90056,-1
37181,93445,-1,93447,1
37181,93445,2,90056,2
37181,93445,2,90056,-2
37181,93445,-2,90056,2
37181,93445,-2,90056,-2
37181,93445,2,93447,2
37181,93445,2,93447,-2
37181,93445,-2,93447,2
37181,93445,-2,93447,-2
37181,93447,-1,90056,-1
37181,93447,-1,93445,1
37181,93447,2,90056,2
37181,93447,2,90056,-2
37181,93447,-2,90056,2
37181,93447,-2,90056,-2
37181,93447,2,93445,2
37181,93447,2,93445,-2
37181,93447,-2,93445,2
37181,93447,-2,93445,-2
37183,90060,1,93527,1
37183,90060,1,93529,1
37183,90060,2,93527,2
37183,90060,2,93527,-2
37183,90060,-2,93527,2
37183,90060,-2,93527,-2
37183,90060,2,93529,2
37183,90060,2,93529,-2
37183,90060,-2,93529,2
37183,90060,-2,93529,-2
37183,93527,-1,90060,-1
37183,93527,-1,93529,1
37183,93527,2,90060,2
37183,93527,2,90060,-2
37183,93527,-2,90060,2
37183,93527,-2,90060,-2
37183,93527,2,93529,2
37183,93527,2,93529,-2
37183,93527,-2,93529,2
37183,93527,-2,93529,-2
37183,93529,-1,90060,-1
37183,93529,-1,93527,1
37183,93529,2,90060,2
37183,93529,2,90060,-2
37183,93529,-2,90060,2
37183,93529,-2,90060,-2
37183,93529,2,93527,2
37183,93529,2,93527,-2
37183,93529,-2,93527,2
37183,93529,-2,93527,-2
37212,90105,-1,90109,1
37212,90105,-1,90111,1
37212,90105,2,90109,2
37212,90105,2,90109,-2
37212,90105,-2,90109,2
37212,90105,-2,90109,-2
37212,90105,2,90111,2
37212,90105,2,90111,-2
37212,90105,-2,90111,2
37212,90105,-2,90111,-2
37212,90109,-1,90105,1
37212,90109,-1,90111,1
37212,90109,2,90105,2
37212,90109,2,90105,-2
37212,90109,-2,90105,2
37212,90109,-2,90105,-2
37212,90109,2,90111,2
37212,90109,2,90111,-2
37212,90109,-2,90111,2
37212,90109,-2,90111,-2
37212,90111,-1,90105,1
